2025-11-16T23:56:49.217985,hello,greeting,0.10489444728419685
2025-11-17T00:03:00.555928,though,though,greeting,0.044129804273455885,greeting:0.044;web_search:0.042;bot_identity:0.042
2025-11-17T00:03:12.191133,though,though,greeting,0.044129804273455885,greeting:0.044;web_search:0.042;bot_identity:0.042
2025-11-17T00:03:24.011363,gordon guy,gordon guy,greeting,0.044129804273455885,greeting:0.044;web_search:0.042;bot_identity:0.042
2025-11-17T00:03:35.372559,the walls,the walls,turn_off_light,0.059186813874015705,turn_off_light:0.059;turn_on_light:0.059;weather:0.052
2025-11-17T00:03:49.531875,the are time it is,the are time it is,get_time,1.0,
2025-11-17T00:04:00.658391,volume of,volume of,increase_volume,0.14292361005694462,increase_volume:0.143;decrease_volume:0.142;greeting:0.034
2025-11-17T00:04:12.492968,room you're up,room youre up,increase_volume,0.06443530134655936,increase_volume:0.064;web_search:0.055;set_alarm:0.051
2025-11-17T00:04:25.131190,on loom up,on loom up,turn_on_light,0.07758036611327626,turn_on_light:0.078;web_search:0.058;increase_volume:0.054
2025-11-18T22:27:33.478452,come on,come on,turn_on_light,0.4818675696562623,turn_on_light:0.482;play_music:0.075;open_calculator:0.041
2025-11-18T22:27:37.393576,that's all,thats all,greeting,0.07193973239776173,greeting:0.072;turn_off_light:0.063;turn_on_light:0.061
2025-11-18T22:28:05.535179,do,do,greeting,0.0744427729156053,greeting:0.074;tell_joke:0.063;decrease_volume:0.061
2025-11-18T22:28:16.574368,they do,they do,greeting,0.0744427729156053,greeting:0.074;tell_joke:0.063;decrease_volume:0.061
2025-11-18T22:28:28.524856,you do,you do,greeting,0.13858524070639103,greeting:0.139;play_music:0.062;turn_on_light:0.058
2025-11-18T22:28:40.525089,you you,you you,greeting,0.13858524070639103,greeting:0.139;play_music:0.062;turn_on_light:0.058
2025-11-18T22:29:02.405182,i'm,im,greeting,0.0744427729156053,greeting:0.074;tell_joke:0.063;decrease_volume:0.061
2025-11-18T22:29:13.556732,time,time,get_time,1.0,
2025-11-18T22:29:24.757817,you do,you do,greeting,0.13858524070639103,greeting:0.139;play_music:0.062;turn_on_light:0.058
2025-11-18T22:29:36.491583,music,music,play_music,0.5806221814051432,play_music:0.581;stop_music:0.196;greeting:0.018
2025-11-18T22:29:45.387765,they music,they music,play_music,0.5806221814051432,play_music:0.581;stop_music:0.196;greeting:0.018
2025-11-18T22:29:50.727442,they music,they music,play_music,0.5806221814051432,play_music:0.581;stop_music:0.196;greeting:0.018
2025-11-18T22:29:55.218162,music,music,play_music,0.5806221814051432,play_music:0.581;stop_music:0.196;greeting:0.018
2025-11-18T22:29:59.977417,they music,they music,play_music,0.5806221814051432,play_music:0.581;stop_music:0.196;greeting:0.018
2025-11-18T22:30:05.306129,the,the,turn_off_light,0.1505959027617239,turn_off_light:0.151;get_time:0.106;turn_on_light:0.096
2025-11-18T22:30:20.528452,light,light,turn_off_light,0.2524213231489885,turn_off_light:0.252;turn_on_light:0.174;greeting:0.046
2025-11-18T22:30:34.850622,the,the,turn_off_light,0.1505959027617239,turn_off_light:0.151;get_time:0.106;turn_on_light:0.096
2025-11-20T15:53:48.042348,hello it will make a meaningless,hello it will make a meaningless,greeting,1.0,,best_model.joblib
2025-11-20T15:54:04.981248,an olive oil or such a an educational that's what i think if you to heating up,an olive oil or such a an educational thats what i think if you to heating up,greeting,0.46616273145767007,greeting:0.466;set_alarm:0.177;increase_volume:0.090,best_model.joblib
2025-11-20T16:25:43.440227,though,though,greeting,0.14987246778254665,greeting:0.150;tell_joke:0.063;set_reminder:0.059,best_model.joblib
2025-11-20T16:25:54.841144,the know,the know,get_time,0.17610390440151016,get_time:0.176;turn_off_light:0.086;stop_music:0.084,best_model.joblib
